%3	MUSCLE PARAMETERS																
%	Fmax	Lceopt	Width	PEEslack	SEEslack	kPEE	umax	Vmax	Tact	Tdeact	L0	dRhip	dRknee	dRankle	dLhip	dLknee	dLankle
R.Iliopsoas	1500	0.102	1.298	1.2	0.142	1	0.05	10	0.05	0.06	0.248	0.05	0	0	0	0	0
R.Glutei	3000	0.2	0.625	1.2	0.157	1	0.05	10	0.05	0.06	0.271	-0.062	0	0	0	0	0
R.Hamstrings	3000	0.104	1.197	1.2	0.334	1	0.05	10	0.05	0.06	0.383	-0.072	-0.034	0	0	0	0
R.Rectus	1200	0.081	1.443	1.4	0.398	1	0.05	10	0.05	0.06	0.474	0.034	0.05	0	0	0	0
R.Vasti	7000	0.093	0.627	1.4	0.223	1	0.05	10	0.05	0.06	0.271	0	0.042	0	0	0	0
R.Gastroc	3000	0.055	0.888	1.2	0.42	1	0.05	10	0.05	0.06	0.487	0	-0.02	-0.053	0	0	0
R.Soleus	4000	0.055	1.039	1.2	0.245	1	0.05	10	0.05	0.06	0.284	0	0	-0.053	0	0	0
R.TibialisAnt	2500	0.082	0.442	1.2	0.317	1	0.05	10	0.05	0.06	0.381	0	0	0.037	0	0	0
L.Iliopsoas	1500	0.102	1.298	1.2	0.142	1	0.05	10	0.05	0.06	0.248	0	0	0	0.05	0	0
L.Glutei	3000	0.2	0.625	1.2	0.157	1	0.05	10	0.05	0.06	0.271	0	0	0	-0.062	0	0
L.Hamstrings	3000	0.104	1.197	1.2	0.334	1	0.05	10	0.05	0.06	0.383	0	0	0	-0.072	-0.034	0
L.Rectus	1200	0.081	1.443	1.4	0.398	1	0.05	10	0.05	0.06	0.474	0	0	0	0.034	0.05	0
L.Vasti	7000	0.093	0.627	1.4	0.223	1	0.05	10	0.05	0.06	0.271	0	0	0	0	0.042	0
L.Gastroc	3000	0.055	0.888	1.2	0.42	1	0.05	10	0.05	0.06	0.487	0	0	0	0	-0.02	-0.053
L.Soleus	4000	0.055	1.039	1.2	0.245	1	0.05	10	0.05	0.06	0.284	0	0	0	0	0	-0.053
L.TibialisAnt	2500	0.082	0.442	1.2	0.317	1	0.05	10	0.05	0.06	0.381	0	0	0	0	0	0.037
